instancia,c_asignaturas,c_salas,c_variables,c_restricciones,tiempo,asignadas,infactible
Grandes_1_1,196,10,23230,7969,-1.0,-1,2
Grandes_1_2,180,11,29080,10268,39.39,153,0
Grandes_1_3,181,11,32117,9943,63.71,166,0
Grandes_1_4,190,11,33259,10914,51.96,164,0
Grandes_1_5,187,9,21865,6777,16.47,144,0
Grandes_2_1,222,14,46791,14799,68.01,194,0
Grandes_2_2,219,12,35206,11068,-1.0,-1,2
Grandes_2_3,217,14,57839,19998,385.85,195,0
Grandes_2_4,222,14,49780,16203,115.17,202,0
Grandes_2_5,220,12,35563,11393,44.63,203,0
Grandes_3_1,259,17,59192,17999,-1.0,-1,2
Grandes_3_2,265,15,55153,18465,208.31,231,0
Grandes_3_3,266,15,66237,22224,432.05,223,0
Grandes_3_4,259,16,51120,15490,90.26,220,0
Grandes_3_5,267,15,47615,14855,113.67,217,0
Grandes_4_1,315,19,86882,27107,360.67,261,0
Grandes_4_2,314,19,77497,24096,389.51,271,0
Grandes_4_3,307,20,90086,30116,433.6,267,0
Grandes_4_4,313,18,69823,20446,-1.0,-1,2
Grandes_4_5,319,18,79726,26712,763.54,275,0
Grandes_5_1,346,23,108589,33824,-1.0,-1,2
Grandes_5_2,346,21,119280,36994,1179.93,290,0
Grandes_5_3,343,21,113127,34563,-1.0,-1,2
Grandes_5_4,349,21,77705,25597,-1.0,-1,2
Grandes_5_5,349,23,139380,45249,1317.09,283,0
